address,bedroom,toilet,investor,acreage,price,lat,long,distance
Hoàng Mai,2.0,1.0,other,52.0,18.0,20.9605541229248,105.845962524414,7.637122018382692
Tây Hồ,2.0,2.0,công ty cp xây dựng và thương mại bắc hà,60.0,39.0,21.0530242919922,105.798637390137,6.207575446891629
Hai Bà Trưng,2.0,2.0,tập đoàn vingroup,78.2,45.39641943734014,20.994333267211896,105.867561340332,4.152857196946919
Long Biên,2.0,2.0,other,81.0,70.0,21.0371780395508,105.873069763184,2.327886063007043
Thanh Xuân,3.0,2.0,other,150.0,28.0,21.0004196166992,105.803436279297,6.003063114612288
Hà Đông,3.0,2.0,other,95.54,25.0,20.9824485778809,105.782279968262,8.942845587052515
Hai Bà Trưng,3.0,3.0,công ty cp tập đoàn sunshine,108.0,32.407407407407405,20.9966850280762,105.873847961426,4.215721522818806
Long Biên,3.0,2.0,other,82.0,16.5,21.0423583984375,105.927299499512,7.914882613822888
Hai Bà Trưng,1.0,1.0,tập đoàn vingroup,55.0,32.72727272727273,20.994333267211896,105.867561340332,4.152857196946919
Tây Hồ,2.0,2.0,công ty cp xây dựng và thương mại bắc hà,83.0,38.0,21.0530242919922,105.798637390137,6.207575446891629
Tây Hồ,4.0,4.0,công ty tnhh phát triển khu đô thị nam thăng long,153.0,32.0,21.072135925293,105.810997009277,6.462685103642633
Nam Từ Liêm,2.0,2.0,other,60.0,30.83333333333333,21.0292072296143,105.764450073242,9.14874000758283
Bắc Từ Liêm,2.0,2.0,công ty tnhh thương mại - quảng cáo - xây dựng - địa ốc việt hân,78.0,25.0,21.0403366088867,105.767585754395,8.914089615411918
Bắc Từ Liêm,3.0,2.0,công ty cp xuất nhập khẩu tổng hợp hà nội - geleximco,90.0,25.0,21.0495662689209,105.778594970703,8.016016166896572
Hoàn Kiếm,3.0,2.0,other,190.0,68.0,21.0249118804932,105.843368530273,1.0470095920986997
Bắc Từ Liêm,2.0,1.0,other,55.0,15.454545454545457,21.069103,105.7288504,13.60351116900598
Hà Đông,2.0,2.0,công ty cp tập đoàn nam cường hà nội,74.0,27.02702702702703,20.9830436706543,105.757339477539,11.128207460763427
Long Biên,2.0,2.0,other,71.0,25.0,21.0409755706787,105.913665771484,6.495931754276251
Hai Bà Trưng,1.0,2.0,tập đoàn vingroup,53.0,26.0,20.9947910308838,105.86784362793,4.116973104094032
